Id	Name	Family	Family Override	Saying	Duration	Difficulty	isFellowship	isOffensive	isUntargeted	IsInstantCast	School.Id	Requires TurnTo
48	Primary Portal Recall	201	201	shurovthiloi	-1	100	False	False	True	False	3	False
49	Aura of Swift Killer Self I	158	158	malaraetak	1800	1	False	False	True	True	3	False
50	Leaden Weapon I	159	159	equinaetak	60	25	False	True	False	True	3	True
51	Impenetrability I	160	160	malarquasith	1800	1	False	False	False	True	3	True
53	Rejuvenation Other I	95	95	boquarzhavik	1800	1	False	False	False	True	2	True
54	Rejuvenation Self I	95	95	boquarzhavik	1800	1	False	False	True	True	2	False
57	Magic Bolt	122	122	zojakeazael	-1	1	False	True	False	True	1	True
58	Acid Stream I	117	117	zojakquafeth	-1	1	False	True	False	True	1	True
59	Acid Stream II	117	117	zojakquafeth	-1	50	False	True	False	False	1	True
60	Acid Stream III	117	117	zojakquafeth	-1	100	False	True	False	False	1	True
61	Acid Stream IV	117	117	zojakquafeth	-1	150	False	True	False	False	1	True
62	Acid Stream V	117	117	zojakquafeth	-1	200	False	True	False	False	1	True
63	Acid Stream VI	117	117	zojakquafeth	-1	250	False	True	False	False	1	True
64	Shock Wave I	118	118	zojakquareth	-1	1	False	True	False	True	1	True
65	Shock Wave II	118	118	zojakquareth	-1	50	False	True	False	False	1	True
66	Shock Wave III	118	118	zojakquareth	-1	100	False	True	False	False	1	True
67	Shock Wave IV	118	118	zojakquareth	-1	150	False	True	False	False	1	True
68	Shock Wave V	118	118	zojakquareth	-1	200	False	True	False	False	1	True
69	Shock Wave VI	118	118	zojakquareth	-1	250	False	True	False	False	1	True
70	Frost Bolt II	119	119	zojakquapaj	-1	50	False	True	False	False	1	True
71	Frost Bolt III	119	119	zojakquapaj	-1	100	False	True	False	False	1	True
72	Frost Bolt IV	119	119	zojakquapaj	-1	150	False	True	False	False	1	True
73	Frost Bolt V	119	119	zojakquapaj	-1	200	False	True	False	False	1	True
74	Frost Bolt VI	119	119	zojakquapaj	-1	250	False	True	False	False	1	True
75	Lightning Bolt I	120	120	zojakquasith	-1	1	False	True	False	True	1	True
76	Lightning Bolt II	120	120	zojakquasith	-1	50	False	True	False	False	1	True
77	Lightning Bolt III	120	120	zojakquasith	-1	100	False	True	False	False	1	True
78	Lightning Bolt IV	120	120	zojakquasith	-1	150	False	True	False	False	1	True
79	Lightning Bolt V	120	120	zojakquasith	-1	200	False	True	False	False	1	True
80	Lightning Bolt VI	120	120	zojakquasith	-1	250	False	True	False	False	1	True
81	Flame Bolt II	121	121	zojakquaguz	-1	50	False	True	False	False	1	True
82	Flame Bolt III	121	121	zojakquaguz	-1	100	False	True	False	False	1	True
83	Flame Bolt IV	121	121	zojakquaguz	-1	150	False	True	False	False	1	True
84	Flame Bolt V	121	121	zojakquaguz	-1	200	False	True	False	False	1	True
85	Flame Bolt VI	121	121	zojakquaguz	-1	250	False	True	False	False	1	True
86	Force Bolt I	122	122	zojakquazael	-1	1	False	True	False	True	1	True
87	Force Bolt II	122	122	zojakquazael	-1	50	False	True	False	False	1	True
88	Force Bolt III	122	122	zojakquazael	-1	100	False	True	False	False	1	True
89	Force Bolt IV	122	122	zojakquazael	-1	150	False	True	False	False	1	True
90	Force Bolt V	122	122	zojakquazael	-1	200	False	True	False	False	1	True
91	Force Bolt VI	122	122	zojakquazael	-1	250	False	True	False	False	1	True
92	Whirling Blade I	123	123	zojakquati	-1	1	False	True	False	True	1	True
93	Whirling Blade II	123	123	zojakquati	-1	50	False	True	False	False	1	True
94	Whirling Blade III	123	123	zojakquati	-1	100	False	True	False	False	1	True
95	Whirling Blade IV	123	123	zojakquati	-1	150	False	True	False	False	1	True
96	Whirling Blade V	123	123	zojakquati	-1	200	False	True	False	False	1	True
97	Whirling Blade VI	123	123	zojakquati	-1	250	False	True	False	False	1	True
99	Acid Blast III	131	131	tugakquafeth	-1	125	False	True	False	False	1	True
100	Acid Blast IV	131	131	tugakquafeth	-1	175	False	True	False	False	1	True
101	Acid Blast V	131	131	tugakquafeth	-1	225	False	True	False	False	1	True
102	Acid Blast VI	131	131	tugakquafeth	-1	275	False	True	False	False	1	True
103	Shock Blast III	132	132	tugakquareth	-1	125	False	True	False	False	1	True
104	Shock Blast IV	132	132	tugakquareth	-1	175	False	True	False	False	1	True
105	Shock Blast V	132	132	tugakquareth	-1	225	False	True	False	False	1	True
106	Shock Blast VI	132	132	tugakquareth	-1	275	False	True	False	False	1	True
107	Frost Blast III	133	133	tugakquapaj	-1	125	False	True	False	False	1	True
108	Frost Blast IV	133	133	tugakquapaj	-1	175	False	True	False	False	1	True
109	Frost Blast V	133	133	tugakquapaj	-1	225	False	True	False	False	1	True
110	Frost Blast VI	133	133	tugakquapaj	-1	275	False	True	False	False	1	True
111	Lightning Blast III	134	134	tugakquasith	-1	125	False	True	False	False	1	True
112	Lightning Blast IV	134	134	tugakquasith	-1	175	False	True	False	False	1	True
113	Lightning Blast V	134	134	tugakquasith	-1	225	False	True	False	False	1	True
114	Lightning Blast VI	134	134	tugakquasith	-1	275	False	True	False	False	1	True
115	Flame Blast III	135	135	tugakquaguz	-1	125	False	True	False	False	1	True
116	Flame Blast IV	135	135	tugakquaguz	-1	175	False	True	False	False	1	True
117	Flame Blast V	135	135	tugakquaguz	-1	225	False	True	False	False	1	True
118	Flame Blast VI	135	135	tugakquaguz	-1	275	False	True	False	False	1	True
119	Force Blast III	136	136	tugakquazael	-1	125	False	True	False	False	1	True
120	Force Blast IV	136	136	tugakquazael	-1	175	False	True	False	False	1	True
121	Force Blast V	136	136	tugakquazael	-1	225	False	True	False	False	1	True
122	Force Blast VI	136	136	tugakquazael	-1	275	False	True	False	False	1	True
123	Blade Blast III	137	137	tugakquati	-1	125	False	True	False	False	1	True
124	Blade Blast IV	137	137	tugakquati	-1	175	False	True	False	False	1	True
125	Blade Blast V	137	137	tugakquati	-1	225	False	True	False	False	1	True
126	Blade Blast VI	137	137	tugakquati	-1	275	False	True	False	False	1	True
127	Acid Volley III	207	207	jevakquafeth	-1	125	False	True	False	False	1	True
128	Acid Volley IV	207	207	jevakquafeth	-1	175	False	True	False	False	1	True
129	Acid Volley V	207	207	jevakquafeth	-1	225	False	True	False	False	1	True
130	Acid Volley VI	207	207	jevakquafeth	-1	275	False	True	False	False	1	True
131	Bludgeoning Volley III	208	208	jevakquareth	-1	125	False	True	False	False	1	True
132	Bludgeoning Volley IV	208	208	jevakquareth	-1	175	False	True	False	False	1	True
133	Bludgeoning Volley V	208	208	jevakquareth	-1	225	False	True	False	False	1	True
134	Bludgeoning Volley VI	208	208	jevakquareth	-1	275	False	True	False	False	1	True
135	Frost Volley III	209	209	jevakquapaj	-1	125	False	True	False	False	1	True
136	Frost Volley IV	209	209	jevakquapaj	-1	175	False	True	False	False	1	True
137	Frost Volley V	209	209	jevakquapaj	-1	225	False	True	False	False	1	True
138	Frost Volley VI	209	209	jevakquapaj	-1	275	False	True	False	False	1	True
139	Lightning Volley III	210	210	jevakquasith	-1	125	False	True	False	False	1	True
140	Lightning Volley IV	210	210	jevakquasith	-1	175	False	True	False	False	1	True
141	Lightning Volley V	210	210	jevakquasith	-1	225	False	True	False	False	1	True
142	Lightning Volley VI	210	210	jevakquasith	-1	275	False	True	False	False	1	True
143	Flame Volley III	211	211	jevakquaguz	-1	125	False	True	False	False	1	True
144	Flame Volley IV	211	211	jevakquaguz	-1	175	False	True	False	False	1	True
145	Flame Volley V	211	211	jevakquaguz	-1	225	False	True	False	False	1	True
146	Flame Volley VI	211	211	jevakquaguz	-1	275	False	True	False	False	1	True
147	Force Volley III	212	212	jevakquazael	-1	125	False	True	False	False	1	True
148	Force Volley IV	212	212	jevakquazael	-1	175	False	True	False	False	1	True
149	Force Volley V	212	212	jevakquazael	-1	225	False	True	False	False	1	True
150	Force Volley VI	212	212	jevakquazael	-1	275	False	True	False	False	1	True
151	Blade Volley III	213	213	jevakquati	-1	125	False	True	False	False	1	True
152	Blade Volley IV	213	213	jevakquati	-1	175	False	True	False	False	1	True
153	Blade Volley V	213	213	jevakquati	-1	225	False	True	False	False	1	True
154	Blade Volley VI	213	213	jevakquati	-1	275	False	True	False	False	1	True
157	Summon Primary Portal I	203	203	roigathiloi	60	200	False	False	True	False	3	False
158	Summon Primary Portal II	203	203	roigathiloi	180	225	False	False	True	False	3	False
159	Regeneration Other I	93	93	boquarzhapaj	1800	1	False	False	False	True	2	True
160	Regeneration Other II	93	93	boquarzhapaj	1800	50	False	False	False	False	2	True
161	Regeneration Other III	93	93	boquarzhapaj	1800	100	False	False	False	False	2	True
162	Regeneration Other IV	93	93	boquarzhapaj	1800	150	False	False	False	False	2	True
163	Regeneration Other V	93	93	boquarzhapaj	1800	200	False	False	False	False	2	True
164	Regeneration Other VI	93	93	boquarzhapaj	2700	250	False	False	False	False	2	True
165	Regeneration Self I	93	93	boquarzhapaj	1800	1	False	False	True	True	2	False
166	Regeneration Self II	93	93	boquarzhapaj	1800	50	False	False	True	True	2	False
167	Regeneration Self III	93	93	boquarzhapaj	1800	100	False	False	True	True	2	False
168	Regeneration Self IV	93	93	boquarzhapaj	1800	150	False	False	True	True	2	False
169	Regeneration Self V	93	93	boquarzhapaj	1800	200	False	False	True	True	2	False
170	Regeneration Self VI	93	93	boquarzhapaj	2700	250	False	False	True	True	2	False
171	Fester Other I	94	94	yanoizhapaj	60	25	False	True	False	True	2	True
172	Fester Other II	94	94	yanoizhapaj	90	75	False	True	False	False	2	True
173	Fester Other III	94	94	yanoizhapaj	120	125	False	True	False	False	2	True
174	Fester Other IV	94	94	yanoizhapaj	150	175	False	True	False	False	2	True
175	Fester Other V	94	94	yanoizhapaj	180	225	False	True	False	False	2	True
176	Fester Other VI	94	94	yanoizhapaj	210	275	False	True	False	False	2	True
178	Fester Self I	94	94	yanoizhapaj	60	25	False	False	True	True	2	False
179	Fester Self II	94	94	yanoizhapaj	90	75	False	False	True	True	2	False
180	Fester Self III	94	94	yanoizhapaj	120	125	False	False	True	True	2	False
181	Fester Self IV	94	94	yanoizhapaj	150	175	False	False	True	True	2	False
182	Fester Self V	94	94	yanoizhapaj	180	225	False	False	True	True	2	False
183	Fester Self VI	94	94	yanoizhapaj	210	275	False	False	True	True	2	False
184	Rejuvenation Other II	95	95	boquarzhavik	1800	50	False	False	False	False	2	True
185	Rejuvenation Other III	95	95	boquarzhavik	1800	100	False	False	False	False	2	True
186	Rejuvenation Other IV	95	95	boquarzhavik	1800	150	False	False	False	False	2	True
187	Rejuvenation Other V	95	95	boquarzhavik	1800	200	False	False	False	False	2	True
188	Rejuvenation Other VI	95	95	boquarzhavik	2700	250	False	False	False	False	2	True
189	Rejuvenation Self II	95	95	boquarzhavik	1800	50	False	False	True	True	2	False
190	Rejuvenation Self III	95	95	boquarzhavik	1800	100	False	False	True	True	2	False
191	Rejuvenation Self IV	95	95	boquarzhavik	1800	150	False	False	True	True	2	False
192	Rejuvenation Self V	95	95	boquarzhavik	1800	200	False	False	True	True	2	False
193	Rejuvenation Self VI	95	95	boquarzhavik	2700	250	False	False	True	True	2	False
194	Exhaustion Other I	96	96	yanoizhavik	60	25	False	True	False	True	2	True
195	Exhaustion Other II	96	96	yanoizhavik	90	75	False	True	False	False	2	True
196	Exhaustion Other III	96	96	yanoizhavik	120	125	False	True	False	False	2	True
197	Exhaustion Other IV	96	96	yanoizhavik	150	175	False	True	False	False	2	True
198	Exhaustion Other V	96	96	yanoizhavik	180	225	False	True	False	False	2	True
199	Exhaustion Other VI	96	96	yanoizhavik	210	275	False	True	False	False	2	True
200	Exhaustion Self I	96	96	yanoizhavik	60	25	False	False	True	True	2	False
201	Exhaustion Self II	96	96	yanoizhavik	90	75	False	False	True	True	2	False
202	Exhaustion Self III	96	96	yanoizhavik	120	125	False	False	True	True	2	False
203	Exhaustion Self IV	96	96	yanoizhavik	150	175	False	False	True	True	2	False
204	Exhaustion Self V	96	96	yanoizhavik	180	225	False	False	True	True	2	False
205	Exhaustion Self VI	96	96	yanoizhavik	210	275	False	False	True	True	2	False
206	Mana Renewal Other I	97	97	boquarzhaloi	1800	1	False	False	False	True	2	True
207	Mana Renewal Other II	97	97	boquarzhaloi	1800	50	False	False	False	False	2	True
208	Mana Renewal Other III	97	97	boquarzhaloi	1800	100	False	False	False	False	2	True
209	Mana Renewal Other IV	97	97	boquarzhaloi	1800	150	False	False	False	False	2	True
210	Mana Renewal Other V	97	97	boquarzhaloi	1800	200	False	False	False	False	2	True
211	Mana Renewal Other VI	97	97	boquarzhaloi	2700	250	False	False	False	False	2	True
212	Mana Renewal Self I	97	97	boquarzhaloi	1800	25	False	False	True	True	2	False
213	Mana Renewal Self II	97	97	boquarzhaloi	1800	50	False	False	True	True	2	False
214	Mana Renewal Self III	97	97	boquarzhaloi	1800	100	False	False	True	True	2	False
215	Mana Renewal Self IV	97	97	boquarzhaloi	1800	150	False	False	True	True	2	False
216	Mana Renewal Self V	97	97	boquarzhaloi	1800	200	False	False	True	True	2	False
217	Mana Renewal Self VI	97	97	boquarzhaloi	2700	250	False	False	True	True	2	False
218	Mana Depletion Other I	98	98	yanoizhaloi	60	25	False	True	False	True	2	True
219	Mana Depletion Other II	98	98	yanoizhaloi	90	75	False	True	False	False	2	True
220	Mana Depletion Other III	98	98	yanoizhaloi	120	125	False	True	False	False	2	True
221	Mana Depletion Other IV	98	98	yanoizhaloi	150	175	False	True	False	False	2	True
222	Mana Depletion Other V	98	98	yanoizhaloi	180	225	False	True	False	False	2	True
223	Mana Depletion Other VI	98	98	yanoizhaloi	210	275	False	True	False	False	2	True
224	Mana Depletion Self I	98	98	yanoizhaloi	60	25	False	False	True	True	2	False
225	Mana Depletion Self II	98	98	yanoizhaloi	90	75	False	False	True	True	2	False
226	Mana Depletion Self III	98	98	yanoizhaloi	120	125	False	False	True	True	2	False
227	Mana Depletion Self IV	98	98	yanoizhaloi	150	175	False	False	True	True	2	False
228	Mana Depletion Self V	98	98	yanoizhaloi	180	225	False	False	True	True	2	False
229	Mana Depletion Self VI	98	98	yanoizhaloi	210	275	False	False	True	True	2	False
230	Vulnerability Other II	38	38	equinozael	90	75	False	True	False	False	4	True
231	Vulnerability Other III	38	38	equinozael	120	125	False	True	False	False	4	True
232	Vulnerability Other IV	38	38	equinozael	150	175	False	True	False	False	4	True
233	Vulnerability Other V	38	38	equinozael	180	225	False	True	False	False	4	True
234	Vulnerability Other VI	38	38	equinozael	210	275	False	True	False	False	4	True
235	Vulnerability Self II	38	38	equinozael	90	75	False	False	True	True	4	False
236	Vulnerability Self III	38	38	equinozael	120	125	False	False	True	True	4	False
237	Vulnerability Self IV	38	38	equinozael	150	175	False	False	True	True	4	False
238	Vulnerability Self V	38	38	equinozael	180	225	False	False	True	True	4	False
239	Vulnerability Self VI	38	38	equinozael	210	275	False	False	True	True	4	False
240	Invulnerability Other II	37	37	malarozael	1800	50	False	False	False	False	4	True
241	Invulnerability Other III	37	37	malarozael	1800	100	False	False	False	False	4	True
242	Invulnerability Other IV	37	37	malarozael	1800	150	False	False	False	False	4	True
243	Invulnerability Other V	37	37	malarozael	1800	200	False	False	False	False	4	True
244	Invulnerability Other VI	37	37	malarozael	2700	250	False	False	False	False	4	True
245	Invulnerability Self II	37	37	malarozael	1800	50	False	False	True	True	4	False
246	Invulnerability Self III	37	37	malarozael	1800	100	False	False	True	True	4	False
247	Invulnerability Self IV	37	37	malarozael	1800	150	False	False	True	True	4	False
248	Invulnerability Self V	37	37	malarozael	1800	200	False	False	True	True	4	False
249	Invulnerability Self VI	37	37	malarozael	2700	250	False	False	True	True	4	False
250	Impregnability Other I	39	39	malarofeth	1800	1	False	False	False	True	4	True
251	Impregnability Other II	39	39	malarofeth	1800	50	False	False	False	False	4	True
252	Impregnability Other III	39	39	malarofeth	1800	100	False	False	False	False	4	True
253	Impregnability Other IV	39	39	malarofeth	1800	150	False	False	False	False	4	True
254	Impregnability Other V	39	39	malarofeth	1800	200	False	False	False	False	4	True
255	Impregnability Other VI	39	39	malarofeth	2700	250	False	False	False	False	4	True
256	Impregnability Self I	39	39	malarofeth	1800	1	False	False	True	True	4	False
257	Impregnability Self II	39	39	malarofeth	1800	50	False	False	True	True	4	False
258	Impregnability Self III	39	39	malarofeth	1800	100	False	False	True	True	4	False
259	Impregnability Self IV	39	39	malarofeth	1800	150	False	False	True	True	4	False
260	Impregnability Self V	39	39	malarofeth	1800	200	False	False	True	True	4	False
261	Impregnability Self VI	39	39	malarofeth	2700	250	False	False	True	True	4	False
262	Defenselessness Other I	40	40	equinofeth	60	1	False	True	False	True	4	True
263	Defenselessness Other II	40	40	equinofeth	90	75	False	True	False	False	4	True
264	Defenselessness Other III	40	40	equinofeth	120	125	False	True	False	False	4	True
265	Defenselessness Other IV	40	40	equinofeth	150	175	False	True	False	False	4	True
266	Defenselessness Other V	40	40	equinofeth	180	225	False	True	False	False	4	True
267	Defenselessness Other VI	40	40	equinofeth	210	275	False	True	False	False	4	True
268	Magic Resistance Other I	41	41	malaropaj	1800	1	False	False	False	True	4	True
269	Magic Resistance Other II	41	41	malaropaj	1800	50	False	False	False	False	4	True
270	Magic Resistance Other III	41	41	malaropaj	1800	100	False	False	False	False	4	True
271	Magic Resistance Other IV	41	41	malaropaj	1800	150	False	False	False	False	4	True
272	Magic Resistance Other V	41	41	malaropaj	1800	200	False	False	False	False	4	True
273	Magic Resistance Other VI	41	41	malaropaj	2700	250	False	False	False	False	4	True
274	Magic Resistance Self I	41	41	malaropaj	1800	1	False	False	True	True	4	False
275	Magic Resistance Self II	41	41	malaropaj	1800	50	False	False	True	True	4	False
276	Magic Resistance Self III	41	41	malaropaj	1800	100	False	False	True	True	4	False
277	Magic Resistance Self IV	41	41	malaropaj	1800	150	False	False	True	True	4	False
278	Magic Resistance Self V	41	41	malaropaj	1800	200	False	False	True	True	4	False
279	Magic Resistance Self VI	41	41	malaropaj	2700	250	False	False	True	True	4	False
280	Magic Yield Other I	42	42	equinopaj	60	1	False	True	False	True	4	True
281	Magic Yield Other II	42	42	equinopaj	90	75	False	True	False	False	4	True
282	Magic Yield Other III	42	42	equinopaj	120	125	False	True	False	False	4	True
283	Magic Yield Other IV	42	42	equinopaj	150	175	False	True	False	False	4	True
284	Magic Yield Other V	42	42	equinopaj	180	225	False	True	False	False	4	True
285	Magic Yield Other VI	42	42	equinopaj	210	275	False	True	False	False	4	True
286	Magic Yield Self I	42	42	equinopaj	60	1	False	False	True	True	4	False
287	Magic Yield Self II	42	42	equinopaj	90	75	False	False	True	True	4	False
288	Magic Yield Self III	42	42	equinopaj	120	125	False	False	True	True	4	False
289	Magic Yield Self IV	42	42	equinopaj	150	175	False	False	True	True	4	False
290	Magic Yield Self V	42	42	equinopaj	180	225	False	False	True	True	4	False
291	Magic Yield Self VI	42	42	equinopaj	210	275	False	False	True	True	4	False
292	Light Weapon Mastery Other I	17	17	malarlutak	1800	1	False	False	False	True	4	True
293	Light Weapon Mastery Other II	17	17	malarlutak	1800	50	False	False	False	False	4	True
294	Light Weapon Mastery Other III	17	17	malarlutak	1800	100	False	False	False	False	4	True
295	Light Weapon Mastery Other IV	17	17	malarlutak	1800	150	False	False	False	False	4	True
296	Light Weapon Mastery Other V	17	17	malarlutak	1800	200	False	False	False	False	4	True
297	Light Weapon Mastery Other VI	17	17	malarlutak	2700	250	False	False	False	False	4	True
298	Light Weapon Mastery Self I	17	17	malarlutak	1800	1	False	False	True	True	4	False
299	Light Weapon Mastery Self II	17	17	malarlutak	1800	50	False	False	True	True	4	False
300	Light Weapon Mastery Self III	17	17	malarlutak	1800	100	False	False	True	True	4	False
301	Light Weapon Mastery Self IV	17	17	malarlutak	1800	150	False	False	True	True	4	False
302	Light Weapon Mastery Self V	17	17	malarlutak	1800	200	False	False	True	True	4	False
303	Light Weapon Mastery Self VI	17	17	malarlutak	2700	250	False	False	True	True	4	False
304	Light Weapon Ineptitude Other I	18	18	equinlutak	60	1	False	True	False	True	4	True
305	Light Weapon Ineptitude Other II	18	18	equinlutak	90	75	False	True	False	False	4	True
306	Light Weapon Ineptitude Other III	18	18	equinlutak	120	125	False	True	False	False	4	True
307	Light Weapon Ineptitude Other IV	18	18	equinlutak	150	175	False	True	False	False	4	True
308	Light Weapon Ineptitude Other V	18	18	equinlutak	180	225	False	True	False	False	4	True
309	Light Weapon Ineptitude Other VI	18	18	equinlutak	210	275	False	True	False	False	4	True
310	Light Weapon Ineptitude Self I	18	18	equinlutak	60	1	False	False	True	True	4	False
311	Light Weapon Ineptitude Self II	18	18	equinlutak	90	75	False	False	True	True	4	False
312	Light Weapon Ineptitude Self III	18	18	equinlutak	120	125	False	False	True	True	4	False
313	Light Weapon Ineptitude Self IV	18	18	equinlutak	150	175	False	False	True	True	4	False
314	Light Weapon Ineptitude Self V	18	18	equinlutak	180	225	False	False	True	True	4	False
315	Light Weapon Ineptitude Self VI	18	18	equinlutak	210	275	False	False	True	True	4	False
316	Finesse Weapon Mastery Other I	23	23	malarluzael	1800	1	False	False	False	True	4	True
317	Finesse Weapon Mastery Other II	23	23	malarluzael	1800	50	False	False	False	False	4	True
318	Finesse Weapon Mastery Other III	23	23	malarluzael	1800	100	False	False	False	False	4	True
319	Finesse Weapon Mastery Other IV	23	23	malarluzael	1800	150	False	False	False	False	4	True
320	Finesse Weapon Mastery Other V	23	23	malarluzael	1800	200	False	False	False	False	4	True
321	Finesse Weapon Mastery Other VI	23	23	malarluzael	2700	250	False	False	False	False	4	True
322	Finesse Weapon Mastery Self I	23	23	malarluzael	1800	1	False	False	True	True	4	False
323	Finesse Weapon Mastery Self II	23	23	malarluzael	1800	50	False	False	True	True	4	False
324	Finesse Weapon Mastery Self III	23	23	malarluzael	1800	100	False	False	True	True	4	False
325	Finesse Weapon Mastery Self IV	23	23	malarluzael	1800	150	False	False	True	True	4	False
326	Finesse Weapon Mastery Self V	23	23	malarluzael	1800	200	False	False	True	True	4	False
327	Finesse Weapon Mastery Self VI	23	23	malarluzael	2700	250	False	False	True	True	4	False
328	Finesse Weapon Ineptitude Other I	24	24	equinluzael	60	1	False	True	False	True	4	True
329	Finesse Weapon Ineptitude Other II	24	24	equinluzael	90	75	False	True	False	False	4	True
330	Finesse Weapon Ineptitude Other III	24	24	equinluzael	120	125	False	True	False	False	4	True
331	Finesse Weapon Ineptitude Other IV	24	24	equinluzael	150	175	False	True	False	False	4	True
332	Finesse Weapon Ineptitude Other V	24	24	equinluzael	180	225	False	True	False	False	4	True
333	Finesse Weapon Ineptitude Other VI	24	24	equinluzael	210	275	False	True	False	False	4	True
334	Finesse Weapon Ineptitude Self I	24	24	equinluzael	60	1	False	False	True	True	4	False
335	Finesse Weapon Ineptitude Self II	24	24	equinluzael	90	75	False	False	True	True	4	False
336	Finesse Weapon Ineptitude Self III	24	24	equinluzael	120	125	False	False	True	True	4	False
337	Finesse Weapon Ineptitude Self IV	24	24	equinluzael	150	175	False	False	True	True	4	False
338	Finesse Weapon Ineptitude Self V	24	24	equinluzael	180	225	False	False	True	True	4	False
339	Finesse Weapon Ineptitude Self VI	24	24	equinluzael	210	275	False	False	True	True	4	False
340	Light Weapon Mastery Other I	17	17	malarlutak	1800	1	False	False	False	True	4	True
341	Light Weapon Mastery Other II	17	17	malarlutak	1800	50	False	False	False	False	4	True
342	Light Weapon Mastery Other III	17	17	malarlutak	1800	100	False	False	False	False	4	True
343	Light Weapon Mastery Other IV	17	17	malarlutak	1800	150	False	False	False	False	4	True
344	Light Weapon Mastery Other V	17	17	malarlutak	1800	200	False	False	False	False	4	True
345	Light Weapon Mastery Other VI	17	17	malarlutak	2700	250	False	False	False	False	4	True
346	Light Weapon Mastery Self I	17	17	malarlutak	1800	1	False	False	True	True	4	False
347	Light Weapon Mastery Self II	17	17	malarlutak	1800	50	False	False	True	True	4	False
348	Light Weapon Mastery Self III	17	17	malarlutak	1800	100	False	False	True	True	4	False
349	Light Weapon Mastery Self IV	17	17	malarlutak	1800	150	False	False	True	True	4	False
350	Light Weapon Mastery Self V	17	17	malarlutak	1800	200	False	False	True	True	4	False
351	Light Weapon Mastery Self VI	17	17	malarlutak	2700	250	False	False	True	True	4	False
352	Light Weapon Ineptitude Other I	18	18	equinlutak	60	1	False	True	False	True	4	True
353	Light Weapon Ineptitude Other II	18	18	equinlutak	90	75	False	True	False	False	4	True
354	Light Weapon Ineptitude Other III	18	18	equinlutak	120	125	False	True	False	False	4	True
355	Light Weapon Ineptitude Other IV	18	18	equinlutak	150	175	False	True	False	False	4	True
356	Light Weapon Ineptitude Other V	18	18	equinlutak	180	225	False	True	False	False	4	True
357	Light Weapon Ineptitude Other VI	18	18	equinlutak	210	275	False	True	False	False	4	True
358	Light Weapon Ineptitude Self I	18	18	equinlutak	60	1	False	False	True	True	4	False
359	Light Weapon Ineptitude Self II	18	18	equinlutak	90	75	False	False	True	True	4	False
360	Light Weapon Ineptitude Self III	18	18	equinlutak	120	125	False	False	True	True	4	False
361	Light Weapon Ineptitude Self IV	18	18	equinlutak	150	175	False	False	True	True	4	False
362	Light Weapon Ineptitude Self V	18	18	equinlutak	180	225	False	False	True	True	4	False
363	Light Weapon Ineptitude Self VI	18	18	equinlutak	210	275	False	False	True	True	4	False
364	Light Weapon Mastery Other I	17	17	malarlutak	1800	1	False	False	False	True	4	True
365	Light Weapon Mastery Other II	17	17	malarlutak	1800	50	False	False	False	False	4	True
366	Light Weapon Mastery Other III	17	17	malarlutak	1800	100	False	False	False	False	4	True
367	Light Weapon Mastery Other IV	17	17	malarlutak	1800	150	False	False	False	False	4	True
